Case Number,Short Description Summary,Trend Category,Sub-Category,Confidence,Reasoning,Manual Review Required
CS1652960,URGENT Symphony LIVE slow and not allowing to save changes or admit patients,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1653410,New Patient's in Symphony taking 25 minutes to send to eCAMIS,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1653560,CS1400432 symphony becoming smaller when scanning,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1653773,Patients on Bedford Symphony not going to donwstream systems first time,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1653928,GP ODS update,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1654157,PMI number not being created with new reg's,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1654184,Test Symphony Luton Interop query,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1654356,Unable to get onto Symphony Live,Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1654372,Symphony circling,Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1654708,TUH REF 749985 - Reassigning Symphony episode - Failed,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1655041,GP Connect Issue,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1655403,GP Trud import into Live,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1655421,Merge patient episode,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1655514,GP Trud Feb 2025,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1655606,EIE queue has locked record,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1655696,FW: Patient 7793533,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1655972,Update user surname,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1656053,Messages not going through,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1656115,Discharge summaries stuck in the queue - unable to proceed,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1657322,Missing ED Discharge Reports,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1657410,Summary Care trace issues,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1657842,Restart of Symphony DAD required,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1658283,DAD outbound messages queueing,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1658305,Two different messaging issues,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1658432,NHS 111 patient consultation information not showing when viewing CDA viewer.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1658677,Batch print-to-file GP letters for emailing,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1658691,Symphony not loading,Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1658767,Password Reset,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1658937,unable to export from e-audit,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1659169,Inbound Patient Index Interface,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1660144,Request to update Symphony filepaths for new file share,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1660862,.ico files and what they are bound to/ flagged /represent in BCUHB Symph,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1661231,Check that interface is working,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1661369,DAD Interface,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1661448,Failed message delivery,Workflow & Process,Assignment,High,"Case involves task queue routing, checkout zone assignments, or ownership rules.",No
CS1661975,Viewing MIDAs Filepaths,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1662185,Clinic slot double booked,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1662220,Quotation required,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1662446,DAD Interface,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1662576,Naas RIP patient,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1662863,MIDAS Scanner Query,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1662970,Bedford Symphony Test outbound A28 message,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1663026,Audit when User last accessed system,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1663128,Luton Symphony UAT - GP Blank,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1663387,BRM gey team,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1663458,Multiple Clients Cant connect,Reporting & Analytics,Dashboard,High,"Case involves dashboard configuration, metrics display, or dashboard access.",No
CS1663654,unable to log into training,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1663883,ICD10 Codes for ED Discharge diagnosis,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1663945,Inbound interface from Test CaMIS,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1664213,New Depts - quick query,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1664380,Unable to complete many DEPs in Symphony Test,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1664439,Staff access,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1664595,Test database ( HDC-UT-SYMSQL2) HA paused,Data Management,Data Correction,High,"Case involves database scripts, data corrections, record timestamp fixes, or duplicate text clean-up.",No
CS1664810,Connolly - Replication failure alert,Notifications & Communications,Alerts,High,Case relates to system alert configuration or missing automated alerts.,No
CS1665278,PDS search to the spine,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1665317,Symphony - Bed Booked DEP,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1665653,Missing attendance,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1665974,DAD outbound MPI messages queueing,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1666316,Audit of symphony users accessing patient demographics,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1666513,patient number mix up,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1666714,Batch printing jobs not showing for W11,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1667045,Clinic slot double booked,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1667215,Print Template Editor query,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1667460,User ID,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1667469,Deceased in Error,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1667484,DAD Restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1667568,Unable to see Service Accounts - James Connolly,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1668253,Trust have called for a dad restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1668408,Messages not going to adastra,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1668512,ODS Update on Test,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1668516,e-Notes,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1668632,CS1649239 EHIC Error,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1668662,issue patient duplicate,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1669046,Score on New DEP not working,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1669084,TRUD ODS update to live 5 November 2025,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1669729,DAD outbound messages queued,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1669779,in new DEP I am unable to add in a lookup list please see attached,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1669856,Unable to get print job in Symphony to print,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1670128,OOH - DAD Restart,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1670198,Access to Patient record,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1670256,EIE feed has gone down,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1670369,Access to a patient record,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1670492,Postcode lookup has an error,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1670692,Case Number CS1666513,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1670702,Replication looks to be down or backed up,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1670706,Flags Issue - Patients displaying with Paediatric & Sepsis flags,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1670967,OOH - DAD restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1670987,DAD Restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1670997,TIE interface show messages pending,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1671060,Issue with flags in Symphony,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1671191,DHCW Integration unable to send messages from MPI to SBHB WEDS,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1671242,SQL Server,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1671291,ECDS submission - Looks like our attendance source mappings are not correct.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1671396,Remove DoD,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1671416,Add deceased marker,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1671620,edocs help,User Guidance & Training,How-To Request,High,"Case involves operational guidance, clinical scoring setup (MEOWS/MAJAX), or usage assistance.",No
CS1671962,Special Needs Data,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1672030,Print job 'Triage' folder missing under Print Jobs Adults,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1672331,Symphony Test environment only sending through new Eye Cas attendances into TIE.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1672424,Audit request - 7716202,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1673122,edocs Category lookup,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1673273,Totnes GP letters blank - URGENT,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1673332,Affinity Portal internal issue,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1673599,Re server PNDCFPRSYMPH053 IP 10.0.4.222,Configuration & Administration,System Administration,High,"Case involves server administration, disk space, failover configuration, or background environment setup.",No
CS1673828,User account soft deleted,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1674001,edocs - attaching to a patient,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1674089,CP-IS issue,Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1674511,Access to patient records,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1674972,Dead locks on Symphony,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1675238,GP letters cannot be printed,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1675378,OOH - Symphony message delays,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1675797,Breaches report,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1675929,Data not showing on letters - Please see CS1673273,Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1676292,1458724 - Address update audit,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1676740,Odd dates on discharge letter,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1677216,Audit request,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1677275,Patient Audit - J251591,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1677421,Reporting on pregnant ladies who are requested an x-ray,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1677810,DAD outbound queue messages building,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1678077,GP Trud into live Symphony - 26.11.25,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1678543,Clinic slot locked,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1678622,Remove RIP on Symphony,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1678683,Interface appeared to have stopped,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1679127,Symphony has removed NHS numbers for patients in eCamis.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1679586,Restart DAD,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1680292,WebServer Issuesa,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1680689,ECDS failure,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1680703,Incorrect  hospital number on Symphony documentation,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1680872,"User locked out, require password reset.",Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1680999,Staff member,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1681125,Still awaiting quote from CS1645063,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1681341,"SSRS reporting,  summary report",Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1681361,Dr unable to request radiology or assign self to patient,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1681495,CEAU caregroup,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1681867,Audit of Patient record access,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1682503,Wristband Printer Stability / Performance Improvement,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1682520,Application not loading,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1682567,Escalation re CS1645063 and CS1681125,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1682637,Symphony not opening for some users,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1682694,ADT A08 - Location Messages backing up,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1682710,Anomoly with GP letters,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1683043,Reference URL,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1683171,Two fields feeding into the same back end field,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1683601,Symphony Test Environment: GP data,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1683616,Symphony NHS 111 Test system not communicating with Maxims,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1683876,Audit of staff,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1683883,Symphony Triage is not working,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1683979,Problem scanning from MIDAS,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1683997,HL 7 updates not reaching Symphony,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1684101,Cannula Check - Hand Hygiene,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1684227,Blank Gap with Flags,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1684438,CIS1 / CIS2 change and impact on scr/cpis,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1684555,FW: IG breach,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1684944,on symphony on 7 episodes no billing created no invoice created,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1685103,Called and asked for dad restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1685104,messages not going to maxims,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1685133,Can't access DEP config Test,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1685746,Confirm location of Discharge documents for Kainos,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1685775,Audit 25-21,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1686017,e notes,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1686145,Patient Access Audit,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1686351,Password for generic accounts,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1686561,Missing Data,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1686623,GP ODS Update,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1686680,Linking symphony to other systems,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1686772,User locked DEP live - Needed asap,Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1686776,Staff member has issue with triage cards,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1686934,Staff audit,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1687129,Query Regarding Server Shifts within BSO,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1687265,FW: Audit J RIce,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1687610,Luton and Bedford Symphony - Initial Assessment for Patients in ED,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1687614,MYHSAE53 - EIE failover?,Configuration & Administration,System Administration,High,"Case involves server administration, disk space, failover configuration, or background environment setup.",No
CS1687643,Symphony Down - all terminals,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1687646,Symphony Comm Point Down,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1687713,ECDS further details,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1687790,Script to reinstate deleted accounts,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1688222,Symphony running very slowly,Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1688374,Symphony Down - all terminals,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1688440,Patient with 770 episodes causing lag in system,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1689088,DAD Restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1689146,Patients are not coming in from IPMS,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1689237,Stuck Messages in DAB Outbound Queue.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1689547,system failure,Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1689583,Staff audit,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1689934,BRM Grey team,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1690248,Security vulnerabilities on Symphony servers,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1690495,Start and End date on Indicators,Notifications & Communications,Alerts,High,Case relates to system alert configuration or missing automated alerts.,No
CS1690600,Diagnosis lookup not populating in symphony (correctly/reliably),Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1690874,Active Users on Symphony,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1691145,Messaging issues,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1691354,Lookup Entry - Character Limit,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1691430,Symphony down,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1691479,A&E episode does not go through to iPM,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1691662,Patient audit,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1691767,Creation of user,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
