Case Number,Short Description Summary,Trend Category,Sub-Category,Confidence,Reasoning,Manual Review Required
CS1673290,Review Archive 4 - Errors,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1673580,Keystone suspect folder error,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1673851,Printing issue -Fording bridge and Gilligham madical Practice,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1673890,tQuest to LIMS interface is down,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1674237,GP's  Reporting missing chemistry results on 14th October,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1674335,revarch01app-p1 and http://revarch02app-p2/,Configuration & Administration,Configuration Change,High,"Case involves specimen/label printing, printer configuration, forms, or templates.",No
CS1674351,Review Archive 2- Skipped schedules form 15/10/2025 17:21:07,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1674395,results not going out,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1674406,Duplicate Patient id  list,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1674500,Unable to place orders on St George's UAT,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1674610,More Errors and Missed 04:00 am Batch of reports to send,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1674706,Unable to upload PMEP ACK files to Telepath server,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1674788,Process stuck in Communications since server restart,Integration & Interfaces,Integration Failure,High,Process communication queue failure following server restart.,No
CS1674797,tQuest Multiple Selection Character Limit,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1674976,cds 6.3 test,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1675030,CORRUPTED DOCUMENTS IN WORKFLOW MANAGER -  SEE CASE REF CS1666919,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1675151,"Internal tQuest to Lims interface is down again,",Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1675331,Installing Bitvise Client,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1675362,New Bitvise Client - authentication not working,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1675618,Access discrepancy. I do not have the same access as my colleagues,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1675967,users are reporting that not all tests are showing in Cumulative Lab View after,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1676153,Repeat requests not reaching Winpath,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1676296,When requesting  repeated pathology test only one TQI number is reaching Winpath,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1676537,Keystone Accounts not logging in,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1676576,Pathology 'Copy to me' Review reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1676682,Request to flip MESH from Keystone (Prod) over to Keystone (Non-Prod),Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1676802,DTS transmission error,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1677124,Unable to see web result,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1677292,Extracts passing EMIS/Optum validation and failing at SUS+,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1677409,Bitvise SSH connection refused,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1677754,Error connecting to cs-translation-internal.emishealth.com via SSH,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1678133,Printer settings - Enquiery,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1678427,Please can you confirm what server nm-review-01.xpat.nhs.uk relates to,Defects & Errors,Application Defect,Medium,"Case reports application defect, unexpected behaviour, or functional error.",No
CS1678712,Bitvise User Configuration,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1678994,sending PDF documents to EMIS,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1679134,Keystone test environment havana-t,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1679234,Optum service desk access,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1679613,CDS Translation Service Failure,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1679645,Review is running slow and displaying error at times,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1680179,Response to Case No CS1677292 required.,Configuration & Administration,Master Data,High,"Case involves master reference data, order set configuration, test catalogues, or ward lookups.",No
CS1680314,Bitvise User Configuration,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1680375,No CDS translation emails received for APC and OPA since 27th October,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1680420,Cyber Alert CVE-2025-48384,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1680472,Optum CDS Translation email,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1680541,Not receiving Email notfication for CDS starting of this week,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1680835,Add a recipient to the CDS/ECDS email translations service,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1680955,Requesting error when Sex: U,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1681046,tQuest not sending orders,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1682716,Keystone server & application password change required for Optum specialists,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1682905,result sent but failed to be recieved by Practice,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1683257,Review Archive - Current Log of Error Files,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1683439,Not Acknowledged status,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1683478,Bitvise client failing to send CDS files,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1683785,Live Review down for all users,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1683901,"Decommissioning of a legacy AD domain of West Middlesex, which is now part of CW",Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1684008,File restructuring in e drive root of application server,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1684442,Patient mobile phone numbers,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1684862,When users are trying to print getting security warning,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1684876,Patient results on incorrect patient,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1685345,Keystone Server is not working.,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1685509,test file 6.3,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1685667,Workaround / alternative suggestion required for the following report failure.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1685695,Configuring GP surgery to receive radiology results,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1686101,"Error message ""contain non-UNOC character""",Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1686207,Linked to CS1674395 Missing results not sent to the practices.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1686350,Order was created but this has not come accross to tQuest,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1686532,Missing tests from Catalogue,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1686621,Unable to login in BitWise Client SSH,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1686727,include email,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1686792,Unable to Connect to SUS SFTP,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1686894,Bitvise Server,Defects & Errors,Application Defect,Medium,"Case reports application defect, unexpected behaviour, or functional error.",No
CS1686896,Unable to Send CDS SUS Files,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1687143,Bitvise SSH connection refused,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1687212,Keystone - not processing discharge summaries>Urgent.,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1687229,Unable to connect to cds-translation-internal.emishealth.com,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1687557,ECDS and CDS Bitvise Software,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1687648,Common Orderable not working,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1687706,ECDS submission,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1687709,Last DPM Reset: 12/11/2025 19:33:43,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1687715,Error connecting to cs-translation-internal.emishealth.com via SSH,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1687986,tQuest - event viewer 790 error,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1688174,Result Not Validated,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1688319,ECDS Send Issues,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1688338,FW: ECDS Send Issues,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1688377,Unable to send CDS or ECDS files dues to connection error.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1688427,3.5k files stuck in sending,Defects & Errors,Application Defect,Medium,"Case reports application defect, unexpected behaviour, or functional error.",No
CS1688514,User is experiencing error when connecting to the EMIS CDS translation service,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1688844,Interlink/Context Launch Config Change,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1689018,bitvise client being refused connection to emis server,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1689184,Recall: Delivery Notes From DC (455) Issues,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1689193,Bitvise Client - Connection failed.,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1689306,ECDS files not being picked up,Configuration & Administration,Master Data,High,"Case involves master reference data, order set configuration, test catalogues, or ward lookups.",No
CS1689391,Unable to send cds files via bitvise ssh client. Con refused by TARGET machine,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1689489,Unable to Connect to SUS SFTP,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1689661,Bitvise issue,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1689812,Fw: Case CS1689306 comments added -ECDS,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1690101,SQL error,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1690201,INC1759764 Incident - TQuest (GP Order Comms),Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1690237,ScriptX MeadCo license query,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1690258,Review has stopped updating since 9:55,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1690428,XML Translation,Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1691230,No correspondence not going out since 06:20,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1691240,Suspect files - Not being recycled every 2 hours after Winpath Upgrade,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1691594,Incorrect NHS number associated with a Hospital ID,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1691623,Incorrect NHS number associated with a Hospital ID,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1691717,SQL errors,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1691761,'Sending' status in Test Keystone,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1692220,Over 3k Files stuck as sending,Defects & Errors,Application Defect,Medium,"Case reports application defect, unexpected behaviour, or functional error.",No
CS1692429,Connection not working,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1692642,Any available tQuest training guides for user and administrator please?,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1692927,KHT Tquest Database Issue,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1692935,New Bitvise Key,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1692959,x 3 files in Suspect folder from 21/11,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1693289,Printer,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1693290,6.3 validate only OPA file,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1693302,Users unable to print tQuest forms,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1694207,Orders not coming across to Soliton,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1695219,XML validation fail,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1695994,Data Request,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1696051,Keystone interchange error,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1697295,Issue with Derbyshire practices accessing tQuest,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1697346,CDS Translation Email Not Received.,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1698316,Unable to get Review started,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1698338,Unable to send result to Gp,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1698643,Cannot Login onto Keystone via the Web browser,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1698696,Files not processed on 30/11 between approx 04:00 - 06:00,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1699463,Configuring Bitvise Client,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1699752,CS1691594,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1699759,Data Request,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1699761,escape tab in HL7 query,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1699948,Unable to view previous hospital test results within Review,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1700041,new account for laptop,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1700188,Bitvise Connection issue,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1700493,11.5k Files stuck as sending,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1700526,results over weekend marked as sending,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1700558,Please check that keystone hasn't errored after housekeeping.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1700612,Review/tQuest database move query,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1700633,Socket error ~ 10054,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1700802,Review Archive - Updated Export Failures 560 Files Total,Integration & Interfaces,Data Exchange,High,"Case involves structured data exchange, data warehouse extraction, or import/export loading.",No
CS1700912,Regarding resolution of case CS1700612,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1701107,Requests in Sending Status between 12:50pm 13:00pm,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1701368,MESH service randomly stopping,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1701915,review is showing error trust wide,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1702184,CDS Translation Service Migration: Colin Johnson,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702185,CDS Translation Service Migration: Dean Small,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702326,FW: Migration of CDS Translation Service to AWS,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702383,CDS Translation Service Migration: Commissioning LTHT,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702384,CDS Translation Service Migration: Stuart Wills,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702385,CDS Translation Service Migration: Peter Driscoll,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702386,CDS Translation Service Migration: J Keen,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702387,CDS Translation Service Migration: John Eagle,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702388,CDS Translation Service Migration: Katy Andrew-May,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702389,CDS Translation Service Migration: Andrew Lord,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702390,CDS Translation Service Migration: ITDE Support,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702391,CDS Translation Service Migration: ESTH Information,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702392,CDS Translation Service Migration: Data Warehouse,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702393,CDS Translation Service Migration: Oladipo Dare,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702394,CDS Translation Service Migration: Aasim Hussein,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702395,CDS Translation Service Migration: Rory MacDonald,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702396,CDS Translation Service Migration: Catherine Baker,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702397,CDS Translation Service Migration: Robert Trzebiatowski,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702398,CDS Translation Service Migration: Christopher Brown,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702399,CDS Translation Service Migration: Steve Young,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702400,CDS Translation Service Migration: Byron Stanway,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702401,CDS Translation Service Migration: David Wiles,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702402,CDS Translation Service Migration: Stewart Neale,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702403,CDS Translation Service Migration: Keith Goddard,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702404,CDS Translation Service Migration: FHFT datawarehouse,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702405,CDS Translation Service Migration: HDFT CDS Submissions ..,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702406,CDS Translation Service Migration: Mohammed Moeen Butt,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702407,CDS Translation Service Migration: George Babish,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702408,CDS Translation Service Migration: Robert Allen,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702409,CDS Translation Service Migration: Barry Oldfield,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702410,CDS Translation Service Migration: Deepak Pulikkottil,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702411,CDS Translation Service Migration: Kola Okeyale,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702412,CDS Translation Service Migration: Yuen Lee,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702413,CDS Translation Service Migration: WHH-TR Information Requests,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702414,CDS Translation Service Migration: Kate Strohman,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702415,CDS Translation Service Migration: Information Admin,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702416,CDS Translation Service Migration: Judith Smithson,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702417,CDS Translation Service Migration: GHNT Information,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702418,CDS Translation Service Migration: Dai Howells,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702419,CDS Translation Service Migration: Marlene Steinbach-Hunt,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702421,CDS Translation Service Migration: Carole Jell,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702422,CDS Translation Service Migration: Gill Kimber,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702423,CDS Translation Service Migration: Robert Dalley,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702424,CDS Translation Service Migration: BWC Information Team,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702425,CDS Translation Service Migration: Case Mix Team,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702426,CDS Translation Service Migration: Hnin Naywin,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702427,CDS Translation Service Migration: Clare Hall,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702428,CDS Translation Service Migration: Sean McGarvey,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702429,CDS Translation Service Migration: Samantha Boon,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702430,CDS Translation Service Migration: NGH-TR Data,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1702431,CDS Translation Service Migration: James  Vansluis,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
